text,labels
Lagta Hai oppo aur vivo ko tagne k liye hum hemile. Hai..agar Samsung k sets mehenge Hai to baat Hai un Mai ....ek to copy fones phir had se ziada mehenge...go for Samsung r nokia oppo ko dfaaa kroo .fazool ghtiya phone,Neg
Oppo ne bohat bara mazaq kia hai 130000 its too much price in Pakistan..Gareeb awam ko lootny ka asha bhana ha,Neg
Kamal ka phone launch kia gai oppo walon nay.sab specifications bohat zabardast hain par is ma front camera dual hota or phone water proof hota to bohat acha hota.kyun Kay is ki price bohat zaida hai.but is ko shape ram or ROM outclass hain. Mery khyla main ala ha ,Neg
Kya ghtiya mzak ha? Is price main iPhone X buy karlo ga.. Koi baywaqoof hoga bohat bara jo ya khareeday ga,Neg
Oppo ne boht he Acha mazaq kia ha sb ye mazaq inko kitna mehnga paray ga ye to waqt he btaye ga..opo thap ho jana yahan ,Neg
"pchtae ga laine wala b coz bhut km resolution hai just 1080 or 401 ppi or video recording just 30fps wah 60fps to bhut set de rhe is se kahin cheap rates pr or battery bhi km hai 6.4 inch screen k lihaz se na hi finger print hai one week k andar hi is ka rate lakh se neeche aa jae ga,,quality itnii ghtiyaa ha iski biknaa hi nii ha flop mobile",Neg
Ghaus bhai ye qeemat k lehaz se history ka flop tareen mobile hony wala hai aur price 145000 se kum shaed hee ho ye unho neymar se commercial krwany k pese b lene hen na aur baqi s9+ mein pyare bhai 256 gb b hai aap ki mrzi hai jonsa marzi lyn sirf camera specs kehne k itbar se achhi hen gpu aur glass k ilawa har cheez s9+ se kum hai jub k s9+ mene 125000 ka lya hai ...is mobile k sb sy ghtiya revioews bntty hain,Neg
Camera bohtttt hi buraaa haaa  Ghas ki pic me ghas kum sabz lagta hi bulka ghass halka peela lagta hi...kyaa ghtiya result ha ..umeed ni thi oopo sy itni low quality ki,Neg
"""ye best phone ha abhi tk jo main use kiya ..na hang issue ,superfast ,,zbaradast ha """,Pos
Bakwas model ha 2 bar price decrease kr li phr bhe sale nahn hoa is se to nokia 6.1 acha model ha.yee farig treen ha oppo A83,Neg
Yeh bohot hi beautiful phone hai use karne mein bhi or dekhne mein bhi jo dekhta hai wo pochta hai k s5 hai ya note 4.,Pos
Mere bhaiyon agar aap log grand prime ko ye soch kar purchase karein ge k yeh humein note 4 jesi performance dega to aaiysa nahi honewala. Log apne wrong comment de rahe hein. Set mein koi problem nahi hai mein ne 2000 se 80000 thousand tak k set use kiye hein or kar raha hun mein ne itni kam price mein aaiysa phone is se pehlay nahi dekha,Pos
Intehai Fazool set hai kindly iss py Paisey zaya mat krna koi iss behter app Honor 3c ly lo . Grand prime bht slow phone hai .,Neg
AoA dosto plz koi batai ga yeh set kisa hai lina chaiye ya nahi or es ki khas bat kiya or es mai agar koi masla tu wo kiya hai ? or original or fake ka kisa pata chalta ? plz rep kar dena yahi pr hi ya mere no pr sms kr de koi tu (thanks) 03345437125 or yeh koi sale kar ra hai rwp/isb mai tu batai ?,Neu
Logon ki samajh mein ye nahi aa raha k original phone mein koi problem nahi he problem sirf fake set mein aa rahi hein. Aap log sirf original phone warranty wala pirchase karein us mein koi bhi problem nahi hai.,Pos
AOA Dear Frnds Muje Samsung Grand Prime cell Phone Laina Hai Plz Ager Ap logo me say Kisi Ne use kiya Hai wo Bata Sakte Hain K Ye Kaisa Set Hai.. allah Ap logo Ko Khush Rakhain Ameen my cell# 03339738004,Neu
Ye mobile bohat acha he..is me koi b khami nai he ,Pos
Ma grand prime lena chahta ho ager koi sale karna chahta ha to moj se rabta kare yr kamal ka phone hai,Pos
awosome mobile bs thora sa bada hai baqi atang hai atang,Pos
